time,nbMessages
194,326950
185,326430
194,325780
182,326690
157,326950
150,326430
163,326430
155,327340
159,325390
160,326040
160,326040
187,326170
269,265822
164,327080
168,325000
194,326950
165,326300
195,326560
211,376600
201,378140
179,377860
203,377580
186,376740
187,378840
197,377020
196,378000
173,378280
212,377720
313,307828
188,378000
203,378280
0,0
268,378000
202,376320
192,377300
185,375900
193,378140
235,378280
210,377860
194,378420
185,376880
177,377160
189,375200
210,377860
209,378000
0,0
198,378560
188,377300
195,377440
201,378140
173,377860
168,378420
200,376320
191,378420
191,377020
177,377300
182,378700
172,377300
185,377300
206,377860
185,377720
0,0
213,378280
189,378420
223,378840
183,377300
192,377720
206,377720
223,377440
254,432750
0,0
246,431850
213,433350
241,432900
241,433500
213,434700
236,434100
209,434250
217,433800
231,430800
202,432000
215,433200
199,432450
227,433650
210,432900
230,432750
213,432000
271,433050
0,0
200,432900
211,433650
205,433050
199,433800
201,433050
220,432900
195,434400
192,434250
221,433350
210,433050
199,433950
280,433350
245,434250
225,432300
199,434700
227,432450
207,433350
0,0
212,435300
218,432600
219,432600
230,433800
211,434700
249,433350
222,433500
204,433950
223,433500
228,432150
203,432600
261,434250
230,434400
248,492640
267,493440
258,492320
219,492960
269,493440
234,492960
281,492160
251,492000
240,492480
434,414046
0,0
434,492160
231,489920
233,493760
239,492960
0,0
253,492480
252,493280
239,492640
252,492800
230,491680
259,492320
241,491520
241,491680
262,492800
242,492320
253,492640
263,493760
245,493760
242,494240
225,493120
0,0
208,492640
387,396285
263,493120
232,492480
236,492000
267,492160
220,492960
0,0
242,492000
234,492800
265,491360
238,490560
277,492480
238,493920
245,492000
250,491360
238,491840
0,0
255,492800
273,556410
290,554200
277,558110
241,555560
274,556410
266,555390
271,555560
270,554710
291,556240
0,0
277,556070
277,555390
0,0
250,555390
275,556410
0,0
283,555900
283,556580
263,554200
245,556240
262,554030
0,0
274,556240
0,0
247,555900
269,556070
304,556240
258,555220
0,0
264,556240
300,557090
282,555900
306,555390
291,557260
269,555560
272,556410
301,555390
363,555900
0,0
247,555390
272,553350
270,556410
254,555900
254,556580
0,0
255,556580
0,0
261,556580
319,554540
266,555900
307,556240
359,623700
296,621540
0,0
315,624600
325,622980
317,624240
335,621540
713,423349
473,622980
472,621540
0,0
313,622980
292,623700
321,623520
303,622260
296,622260
318,621360
280,624240
0,0
289,622260
328,622800
313,622980
324,623520
309,623340
292,624780
306,621540
293,622974
303,622620
309,622620
279,622800
318,622620
268,623160
328,624600
376,622080
310,623340
341,624060
292,624060
323,623520
270,624780
297,622440
276,624960
344,623340
0,0
0,0
279,621900
323,623160
272,620460
318,624060
280,623520
265,623520
323,622260
366,691980
308,695020
324,694830
0,0
350,694450
360,693880
339,692550
0,0
318,694070
382,692360
331,694640
338,693500
332,691220
334,694260
326,694830
344,694450
324,692550
317,692740
324,693500
353,695020
352,693690
363,695210
352,694070
313,691030
329,692930
355,693880
341,692170
336,694450
325,694260
346,691600
362,693690
328,692930
322,695210
414,691600
0,0
330,695020
343,695210
312,691410
303,693500
366,694070
348,693880
327,694830
366,693880
346,695210
374,694640
310,693500
497,694830
391,694260
304,694070
314,689890
316,693500
363,770200
0,0
391,768600
371,769000
401,769000
387,767600
0,0
0,0
424,768600
448,766200
439,769600
364,770400
401,769800
0,0
359,767200
0,0
391,770000
391,769600
461,767600
412,767000
370,768600
439,767600
468,765800
435,768000
412,768800
447,768600
0,0
448,770200
444,767600
405,769600
517,560714
363,767600
418,768000
381,766400
373,768400
404,769200
413,766800
348,770200
394,769000
359,767800
369,768600
381,767200
407,766600
362,770200
369,768800
0,0
420,768000
418,767800
421,769800
379,767800
391,766800
0,0
409,845670
429,845670
447,844830
435,846510
433,845460
436,846300
406,846720
415,844830
399,845250
412,846510
452,846720
416,844200
442,845670
408,845250
0,0
426,847770
434,847770
443,847350
416,847980
0,0
411,847770
443,847560
0,0
386,844200
413,847350
407,846930
421,846300
616,622626
0,0
438,846300
418,845250
0,0
442,847770
448,847350
442,848400
469,845040
418,846510
417,843360
410,847350
398,847770
775,694260
487,844830
0,0
380,845460
386,845880
425,849240
416,847770
453,847980
405,846720
424,845670
515,928400
732,927740
0,0
486,927520
518,928180
565,928620
685,926200
524,929720
492,928180
472,929940
489,930160
446,929500
499,929720
429,929720
453,930600
441,928620
494,929280
491,929500
502,929500
455,930600
463,928620
509,929280
458,930600
495,930380
452,928400
494,930600
0,0
498,928400
810,571266
539,929720
465,928620
0,0
462,928180
454,928840
457,928400
454,928620
0,0
558,928400
464,929280
465,927080
432,929060
484,928840
496,927740
452,928400
488,930380
740,660612
470,926420
0,0
455,927520
468,928620
0,0
495,1013150
485,1018210
499,1013610
509,1015220
0,0
530,1013840
507,1016140
511,1015450
476,1015680
481,1014990
908,793507
530,1017520
550,1012920
533,1018210
772,1015910
518,1014530
548,1012230
579,1014760
624,1015220
521,1015910
772,656367
0,0
521,1013150
555,1012460
513,1014990
488,1013840
481,1012000
486,1012230
559,1014070
512,1016370
593,1013610
996,624380
487,1014530
496,1016600
484,1012920
503,1015450
540,1015450
495,1015910
519,1013380
468,1015910
488,1015220
482,1012920
0,0
0,0
480,1011770
543,1016140
492,1014760
0,0
479,1014300
774,584576
513,1012000
550,1106160
579,1105440
511,1104480
557,1103520
566,1104960
563,1105920
524,1107120
585,1106640
538,1103520
593,1106640
561,1104480
591,1102800
549,1102080
568,1107840
502,1104480
564,1103040
567,1103760
671,1105920
570,1104240
597,1105920
523,1103280
559,1105920
531,1104960
0,0
524,1107600
561,1105200
565,1104960
536,1105680
540,1102800
565,1104240
0,0
559,1099920
551,1102800
561,1103760
555,1107840
595,1107120
567,1100160
573,1102320
543,1102320
519,1106160
0,0
568,1106160
528,1106160
608,1101360
538,1105920
576,1104240
563,1103520
543,1104240
539,1104720
615,1105920
0,0
757,1197000
612,1197750
668,1198750
629,1198000
0,0
1018,886683
669,1196000
605,1201500
590,1196750
618,1196500
596,1199250
592,1196500
635,1199750
641,1199000
611,1198250
592,1197250
562,1199000
657,1199000
616,1199250
584,1197500
604,1200750
619,1199250
574,1194000
629,1198750
625,1199500
577,1198750
578,1196500
583,1199750
635,1197500
582,1196500
972,689910
0,0
690,1196750
658,1199250
591,1199750
597,1196750
635,1198250
615,1199250
607,1198750
575,1198750
619,1195500
652,1198500
0,0
639,1197500
606,1199250
593,1199000
649,1200250
645,1197250
610,1197250
651,1199000
586,1196250
685,1296620
660,1294800
685,1296620
730,1298960
672,1294800
672,1296620
655,1296620
0,0
759,1295060
667,1294800
697,1295060
733,1297400
651,1295580
689,1296620
709,1295840
708,1296360
689,1296100
673,1295060
713,1297400
736,1296360
900,1294280
635,1297920
677,1297660
689,1295580
690,1297400
689,1297400
925,1295320
626,1297140
674,1292200
689,1295320
688,1297400
680,1295060
694,1298440
651,1294800
695,1294020
711,1294280
661,1295320
656,1297400
645,1297140
700,1295580
801,1297140
0,0
854,1295060
0,0
906,1296100
734,1293760
715,1296100
754,1293760
684,1296880
737,1293760
663,1295580
757,1395630
773,1396980
719,1397790
792,1399410
752,1398600
779,1397790
790,1394010
781,1399140
750,1396980
734,1396170
880,1397790
719,1398330
814,1395900
739,1396170
763,1396980
830,1397520
725,1398600
691,1395090
755,1394010
721,1395090
749,1397790
803,1397520
790,1395630
822,1396710
800,1396980
1267,1166371
744,1400220
695,1398060
0,0
730,1394820
793,1397250
728,1400760
836,1396710
768,1398330
721,1397520
727,1396440
699,1395630
1434,1152360
831,1399140
910,1397790
879,1396980
751,1393740
703,1394820
684,1394820
737,1397790
722,1398060
734,1397250
748,1394280
734,1392660
732,1392120
888,1395090
880,1502760
928,1502200
818,1501080
905,1502760
0,0
831,1502480
849,1502760
1316,1275643
823,1502480
773,1502760
775,1502480
775,1499960
749,1504440
797,1501080
791,1499960
723,1501080
