time,round,nbMessages
113,99,30004
57,99,29600
73,99,27972
105,99,29749
91,99,31787
93,99,31179
57,99,33096
103,99,34664
96,99,31438
79,99,31308
58,99,28017
110,99,28372
81,99,33114
129,99,34601
117,99,30061
93,99,32504
82,99,30263
58,99,27919
91,99,31071
102,99,30561
90,99,33677
73,99,28382
56,99,28892
53,99,26550
71,99,29955
61,99,27768
84,99,28478
76,99,29245
75,99,28686
113,99,30259
104,99,32399
73,99,30922
107,99,28888
76,99,32961
69,99,30159
97,99,33415
67,99,28784
95,99,36297
91,99,31228
75,99,30653
124,99,31324
110,99,34444
65,99,29137
66,99,30214
84,99,29957
71,99,29959
71,99,30061
119,109,44062
148,109,35962
87,109,38448
90,109,41556
83,109,35250
71,109,33964
86,109,35912
79,109,36366
88,109,42318
115,109,36580
57,109,33282
117,109,38904
108,109,38370
62,109,34738
102,109,39044
62,109,34244
108,109,36862
113,109,38076
131,109,39938
90,109,38038
86,109,35690
115,109,36200
127,109,36924
95,109,38020
96,109,36864
80,109,34470
86,109,32462
71,109,33740
104,109,36754
77,109,36196
88,109,39338
111,109,38098
77,109,36916
89,109,40126
63,109,34466
79,109,35858
91,109,43880
89,109,35694
114,109,46792
111,109,37372
63,109,34522
109,109,37488
99,109,36806
105,109,38606
96,109,39402
76,109,35904
98,109,38932
84,109,37554
78,109,35690
97,109,40778
103,109,41008
106,119,42108
120,119,51890
73,119,42177
105,119,50538
126,119,44119
91,119,40835
113,119,41929
115,119,42718
156,119,53035
104,119,48067
112,119,41439
128,119,53684
99,119,45653
167,119,45524
146,119,50713
115,119,43991
115,119,44296
105,119,52157
128,119,41998
99,119,43690
144,119,44475
91,119,42777
85,119,41197
115,119,39802
119,119,46191
139,119,47520
76,119,42291
84,119,43572
96,119,43330
80,119,41620
142,119,47654
104,119,46157
119,119,48546
92,119,50690
100,119,46921
91,119,41441
101,119,49031
105,119,54017
91,119,43971
84,119,41258
92,119,44554
107,119,45600
160,119,46210
115,119,42661
189,119,45274
99,119,45685
137,119,47346
66,119,42411
104,119,46250
96,119,42415
108,119,43875
126,129,53278
127,129,49198
148,129,63128
137,129,52594
83,129,48466
142,129,59910
142,129,58358
123,129,54132
147,129,47082
105,129,51230
127,129,51492
136,129,50308
103,129,53208
124,129,51562
111,129,48736
147,129,50508
113,129,50896
119,129,64518
144,129,50710
96,129,48268
129,129,49646
104,129,50766
110,129,53478
160,129,47222
132,129,53144
137,129,51232
217,129,48864
111,129,58482
108,129,53472
112,129,51894
94,129,49456
124,129,59252
152,129,56176
150,129,49654
135,129,48862
193,129,56244
93,129,53022
136,129,57696
100,129,53758
143,129,56838
124,129,51102
161,129,52748
122,129,56308
124,129,52222
104,129,52026
117,129,50124
130,129,51632
130,129,48266
131,129,53970
126,129,52332
148,129,54684
104,139,58165
125,139,59938
160,139,60153
