time,round,nbMessages
63,79,18921
68,79,19778
69,79,19247
87,89,27244
94,89,25628
147,89,26652
77,89,24638
153,89,25724
114,89,26326
118,89,26598
93,89,24032
85,89,23530
108,89,30082
87,89,26294
121,89,26632
94,89,24810
111,89,23718
105,89,25862
55,89,22796
102,89,24034
114,89,24898
87,89,23388
76,89,24034
138,89,28764
90,89,26740
110,89,23342
94,89,28428
102,89,29534
87,89,23844
95,89,22468
70,89,23436
76,89,25818
94,89,29566
60,89,23390
73,89,25452
54,89,23938
72,89,24078
70,89,23570
138,89,26280
100,89,23848
116,89,28470
113,89,25778
91,89,23198
144,89,28260
123,89,24174
57,89,24576
64,89,24078
53,89,24126
79,89,22290
70,89,23074
78,89,23622
166,89,25500
185,89,28752
78,89,24630
147,99,35248
106,99,30414
102,99,33175
119,99,31122
72,99,28782
91,99,30259
68,99,28839
95,99,34245
85,99,28688
119,99,30565
99,99,31889
99,99,31671
102,99,35040
101,99,29747
92,99,30775
124,99,36058
103,99,30414
184,99,34075
173,99,31279
74,99,27874
172,99,33319
88,99,30259
72,99,29039
88,99,31432
59,99,27572
72,99,30261
55,99,27317
128,99,33007
84,99,29494
57,99,30429
49,99,29668
52,99,28888
86,99,30977
76,99,29898
65,99,33718
48,99,27717
75,99,30412
66,99,29243
71,99,31071
86,99,33008
68,99,31567
88,99,30971
68,99,32556
59,99,29043
59,99,27923
57,99,28231
111,99,37068
60,99,32633
79,99,31381
85,99,31077
58,99,30259
121,109,41682
144,109,43558
80,109,35858
96,109,41698
89,109,37256
115,109,37930
89,109,42524
88,109,40528
78,109,35018
128,109,39710
94,109,37420
103,109,37292
101,109,43322
107,109,41614
90,109,38264
88,109,34694
100,109,39186
190,109,39552
74,109,37038
97,109,34516
76,109,36026
70,109,36194
88,109,40380
84,109,40604
118,109,39160
123,109,37366
88,109,37932
127,109,38102
247,109,46474
88,109,36472
112,109,37202
74,109,37244
75,109,37404
120,109,37594
58,109,35018
59,109,34968
77,109,35244
84,109,42588
93,109,35572
140,109,41330
140,109,39832
97,109,40302
100,109,36140
65,109,35858
80,109,36810
63,109,35024
143,109,40164
79,109,36306
112,109,36694
58,109,34916
201,109,40586
128,119,48547
132,119,52687
81,119,40406
129,119,45520
84,119,41382
99,119,45132
115,119,44184
79,119,44058
165,119,47047
232,119,48316
74,119,40886
207,119,46372
67,119,40410
132,119,48225
114,119,42844
104,119,43816
115,119,49460
116,119,46071
103,119,45825
80,119,42598
92,119,42905
208,119,51450
185,119,45817
88,119,44758
194,119,51593
97,119,41622
121,119,45276
131,119,44121
134,119,43981
225,119,46677
92,119,43745
107,119,43690
155,119,44121
103,119,44855
84,119,42114
95,119,45718
76,119,41620
100,119,44058
196,119,49734
99,119,41382
115,119,42415
103,119,43818
96,119,42720
88,119,42295
92,119,42596
81,119,43304
108,119,44119
139,119,45459
107,119,44729
148,119,52134
80,119,41140
128,129,53522
169,129,53410
165,129,54264
163,129,54664
116,129,50708
67,129,45506
124,129,51038
155,129,53010
121,129,51694
122,129,51428
102,129,53090
101,129,57006
82,129,48928
109,129,50242
101,129,50636
183,129,56256
262,129,57626
91,129,49982
162,129,61410
116,129,51306
131,129,55320
132,129,53410
110,129,49648
124,129,50116
128,129,52816
88,129,51304
82,129,45442
98,129,50504
97,129,51848
113,129,51964
97,129,49322
134,129,57166
136,129,60456
114,129,61066
94,129,49522
110,129,59362
108,129,49850
106,129,53736
104,129,48728
123,129,53870
131,129,53546
122,129,51232
114,129,46566
147,129,59788
102,129,51300
107,129,52018
149,129,61430
118,129,54660
153,129,55388
119,129,52670
140,129,55102
148,139,64858
214,139,69467
200,139,60368
182,139,58035
132,139,56193
176,139,75916
159,139,61628
229,139,61573
205,139,59017
451,139,64338
406,139,64637
191,139,58313
294,139,65743
300,139,70464
193,139,61072
224,139,60435
119,139,64678
138,139,66029
121,139,59021
127,139,58950
238,139,66489
134,139,57962
250,139,62427
124,139,59660
87,139,52649
314,139,74065
204,139,60997
168,139,60001
266,139,63703
144,139,59234
199,139,61782
109,139,56467
239,139,65191
210,139,62103
130,139,56893
98,139,54773
135,139,66855
166,139,66879
200,139,60863
148,139,63142
87,139,57037
95,139,56039
237,139,61938
103,139,57461
106,139,57599
214,139,64568
125,139,59374
114,139,56682
131,139,57240
237,139,70892
109,139,56116
153,149,66820
167,149,68110
354,149,69330
552,149,71074
256,149,74288
366,149,77078
244,149,70820
191,149,73384
341,149,70994
277,149,68952
258,149,67874
379,149,70844
462,149,73856
190,149,68334
340,149,71676
266,149,68186
128,149,62886
406,149,71760
111,149,66142
147,149,62656
131,149,67128
120,149,66448
205,149,75376
151,149,69708
331,149,73128
132,149,67206
260,149,70316
346,149,75498
101,149,66296
151,149,68950
119,149,68948
247,149,71452
285,149,71454
180,149,69706
157,149,65450
188,149,82106
121,149,64852
103,149,64398
562,149,84608
149,149,67052
150,149,65770
249,149,69320
136,149,69756
190,149,69474
156,149,68188
111,149,68662
484,149,73734
117,149,64920
236,149,78410
175,149,69630
282,149,71602
162,159,74461
126,159,70990
322,159,89265
166,159,74058
142,159,70903
142,159,73088
258,159,77537
117,159,74299
135,159,74945
229,159,73894
180,159,83510
141,159,74299
260,159,83351
271,159,94091
336,159,77136
295,159,77215
151,159,73813
336,159,86622
191,159,89049
315,159,86140
289,159,78096
398,159,79801
258,159,79639
208,159,77448
377,159,91174
287,159,78507
299,159,88348
133,159,76754
209,159,73246
246,159,83795
105,159,71638
119,159,73813
158,159,73985
316,159,97704
334,159,91746
223,159,75589
220,159,87850
239,159,79647
241,159,79149
463,159,100793
225,159,78507
375,159,80933
229,159,79939
173,159,79635
239,159,79396
179,159,78258
196,159,88498
313,159,79313
200,159,74862
296,159,78098
251,159,78910
219,169,91000
206,169,80004
527,169,107028
237,169,87572
203,169,87140
346,169,104014
363,169,99086
278,169,90914
306,169,90484
290,169,86878
178,169,82336
244,169,92616
431,169,98062
381,169,92634
387,169,107050
223,169,84046
210,169,97670
264,169,89774
493,169,98590
137,169,79924
279,169,89022
294,169,84644
253,169,86020
269,169,93008
404,169,91002
222,169,81984
312,169,93412
378,169,98506
252,169,83872
232,169,85762
252,169,91772
164,169,84472
229,169,86790
191,169,84128
165,169,86102
175,169,94752
145,169,83958
142,169,84902
165,169,83702
160,169,84982
180,169,93756
170,169,92210
140,169,85330
228,169,86532
143,169,78388
149,169,87820
217,169,90054
177,169,98580
153,169,85330
168,169,87656
197,169,94766
157,179,92114
159,179,92850
235,179,126915
260,179,106211
157,179,90577
258,179,97934
198,179,98209
310,179,99570
148,179,92565
192,179,101758
161,179,98387
167,179,99787
186,179,119696
276,179,118259
234,179,98749
227,179,104021
140,179,92848
181,179,104300
136,179,90666
177,179,110776
181,179,115206
146,179,101241
164,179,105399
160,179,92573
177,179,101301
154,179,97473
163,179,101126
164,179,104370
219,179,101473
253,179,94209
277,179,98114
170,179,103783
180,179,115790
206,179,121127
159,179,98023
140,179,96804
182,179,104660
204,179,100749
171,179,100294
165,179,112941
187,179,104569
194,179,120771
188,179,103615
163,179,96292
158,179,101113
196,179,97576
164,179,97388
183,179,103295
181,179,107516
179,179,100598
205,179,110007
241,189,112622
254,189,121166
182,189,108306
223,189,112238
181,189,103902
312,189,114350
284,189,110224
166,189,100350
238,189,102556
234,189,115694
205,189,106572
239,189,108978
202,189,106290
269,189,117706
194,189,108300
199,189,108112
175,189,111770
277,189,110126
204,189,105048
224,189,116350
238,189,107056
232,189,127976
244,189,126540
250,189,115626
179,189,109552
171,189,108210
189,189,120868
206,189,117994
239,189,119052
227,189,117232
156,189,102170
218,189,110322
201,189,109364
229,189,129596
216,189,118272
182,189,105906
203,189,106962
179,189,122462
209,189,116556
165,189,107620
190,189,107344
207,189,112140
208,189,106484
178,189,109364
191,189,115946
211,189,114926
203,189,124700
189,189,129474
196,189,119042
189,189,111760
175,189,122066
197,199,117788
183,199,116172
196,199,121820
212,199,123941
207,199,120006
185,199,118899
225,199,131535
253,199,126460
270,199,120812
176,199,120713
191,199,131091
168,199,118588
244,199,134777
272,199,132492
206,199,108114
225,199,125250
267,199,125856
257,199,134443
181,199,121113
249,199,129634
224,199,120404
264,199,118190
238,199,115768
269,199,120418
213,199,117083
257,199,122828
234,199,129092
264,199,133998
255,199,121319
174,199,115564
229,199,125456
379,199,123776
198,199,121517
184,199,125586
295,199,125252
235,199,131638
278,199,124042
191,199,123137
264,199,130199
244,199,117085
211,199,131914
210,199,122628
200,199,120105
228,199,125553
250,199,126767
251,199,129995
213,199,126267
195,199,144761
256,199,135474
223,199,141535
178,199,122731
281,209,130402
235,209,136214
237,209,127746
351,209,133042
184,209,135272
228,209,133576
367,209,147330
211,209,148066
169,209,127236
231,209,142368
225,209,144602
250,209,124686
273,209,135054
254,209,141742
201,209,129548
242,209,156304
236,209,142976
259,209,133366
256,209,135690
268,209,142966
226,209,140354
299,209,137182
213,209,128380
187,209,129444
199,209,131884
265,209,134640
251,209,136752
186,209,131782
200,209,136878
204,209,135590
172,209,120448
221,209,128284
211,209,139512
178,209,122992
267,209,146044
248,209,127854
326,209,157122
274,209,139402
222,209,171596
250,209,160120
183,209,130080
242,209,165856
233,209,138662
219,209,122254
232,209,128494
244,209,141520
253,209,139876
267,209,158400
331,209,132306
290,209,135594
235,209,130818
213,219,144195
249,219,158952
220,219,147537
296,219,154526
207,219,146314
223,219,142098
227,219,153192
209,219,163785
243,219,138774
296,219,144762
217,219,135668
230,219,154304
270,219,143878
247,219,145870
276,219,191159
226,219,144203
217,219,151083
195,219,141101
216,219,141549
351,219,165728
301,219,202902
211,219,141105
280,219,153305
215,219,150306
255,219,174647
368,219,150308
220,219,151414
255,219,155521
267,219,157634
249,219,144209
251,219,148536
269,219,150641
246,219,148758
212,219,138219
236,219,143507
237,219,149866
272,219,167242
221,219,155853
267,219,148752
252,219,148536
218,219,142764
289,219,170516
254,219,152530
313,219,145317
300,219,164257
218,219,156991
209,219,148320
209,219,143761
193,219,140992
216,219,144647
329,219,150637
242,229,160564
255,229,166590
218,229,182744
245,229,186470
367,229,172732
348,229,172384
301,229,154764
321,229,158590
319,229,167632
404,229,175512
351,229,166470
283,229,174424
297,229,159282
210,229,156268
279,229,170388
395,229,166468
310,229,195340
244,229,159630
203,229,143410
238,229,177472
295,229,187408
241,229,176642
257,229,164268
218,229,154184
270,229,171574
271,229,173082
235,229,157746
227,229,160992
283,229,153146
324,229,163922
255,229,162530
255,229,161950
222,229,162876
230,229,176416
242,229,196644
241,229,159170
448,229,194332
228,229,156732
285,229,172854
320,229,174030
242,229,169928
