time,round,nbMessages
32,6,19360
34,5,19360
31,6,19360
0,5,24480
0,6,24480
0,5,24480
0,5,24480
0,6,24480
0,6,24480
0,6,24480
0,5,24480
0,5,24480
0,6,24480
0,6,24480
0,5,24480
0,7,24480
0,5,24480
0,5,24480
0,7,24480
0,6,24480
0,6,24480
0,6,24480
0,6,24480
0,6,24480
0,6,24480
0,6,24480
0,4,24480
0,6,24480
0,5,24480
0,5,24480
0,5,24480
0,5,24480
0,6,24480
0,7,24480
0,7,24480
0,5,24480
0,4,24480
0,6,24480
0,6,24480
0,6,24480
0,4,24480
0,6,24480
0,6,24480
0,5,24480
0,5,24480
0,7,24480
0,6,24480
0,6,24480
0,5,24480
0,5,24480
0,6,24480
0,7,24480
0,6,24480
0,6,24480
43,6,30200
41,5,30200
40,5,30200
47,7,30200
40,5,30200
52,6,30200
42,6,30200
46,5,30200
53,5,30200
39,6,30200
43,6,30200
49,7,30200
40,6,30200
52,6,30200
38,6,30200
43,6,30200
46,7,30200
41,6,30200
41,6,30200
52,7,30200
42,6,30200
47,7,30200
49,6,30200
41,6,30200
41,5,30200
51,6,30200
40,5,30200
46,6,30200
46,6,30200
39,6,30200
38,5,30200
47,6,30200
40,5,30200
46,5,30200
46,6,30200
38,5,30200
40,6,30200
55,6,30200
43,7,30200
41,5,30200
55,7,30200
41,6,30200
40,7,30200
37,5,30200
43,6,30200
50,6,30200
39,4,30200
54,5,30200
39,5,30200
38,6,30200
56,6,30200
0,5,36520
0,5,36520
0,6,36520
0,6,36520
0,6,36520
0,6,36520
0,5,36520
0,6,36520
0,6,36520
0,5,36520
0,8,36520
0,6,36520
0,7,36520
0,7,36520
0,5,36520
0,6,36520
0,7,36520
0,6,36520
0,7,36520
0,6,36520
0,6,36520
0,5,36520
0,7,36520
0,6,36520
0,6,36520
0,5,36520
0,7,36520
0,6,36520
0,6,36520
0,5,36520
0,6,36520
0,6,36520
0,6,36520
0,7,36520
0,7,36520
0,6,36520
0,7,36520
0,6,36520
0,7,36520
0,7,36520
0,5,36520
0,5,36520
0,7,36520
0,6,36520
0,5,36520
0,6,36520
0,7,36520
0,6,36520
0,6,36520
0,5,36520
0,7,36520
53,6,43440
55,6,43440
53,6,43440
64,7,43440
57,5,43440
65,7,43440
69,7,43440
66,6,43440
64,7,43440
47,6,43440
70,7,43440
53,6,43440
62,5,43440
64,6,43440
65,6,43440
66,6,43440
67,7,43440
75,7,43440
63,6,43440
62,7,43440
56,6,43440
64,7,43440
68,6,43440
70,5,43440
55,5,43440
59,6,43440
66,5,43440
62,7,43440
52,6,43440
64,6,43440
57,8,43440
52,6,43440
59,6,43440
56,8,43440
51,7,43440
59,7,43440
66,6,43440
60,7,43440
53,7,43440
63,6,43440
57,6,43440
73,6,43440
62,7,43440
59,5,43440
67,6,43440
57,5,43440
65,5,43440
63,6,43440
47,6,43440
79,7,43440
51,6,43440
0,5,50960
0,6,50960
0,7,50960
0,7,50960
0,6,50960
0,7,50960
0,7,50960
0,7,50960
0,6,50960
0,5,50960
0,6,50960
0,7,50960
0,5,50960
0,6,50960
0,6,50960
0,6,50960
0,5,50960
0,6,50960
0,7,50960
0,7,50960
0,6,50960
0,6,50960
0,7,50960
0,7,50960
0,6,50960
0,6,50960
0,7,50960
0,8,50960
0,6,50960
0,6,50960
0,7,50960
0,7,50960
0,6,50960
0,7,50960
0,9,50960
0,6,50960
0,8,50960
0,6,50960
0,7,50960
0,6,50960
0,7,50960
0,5,50960
0,9,50960
0,8,50960
0,6,50960
0,6,50960
0,6,50960
0,5,50960
0,7,50960
0,6,50960
0,7,50960
73,8,59080
61,8,59080
59,7,59080
68,8,59080
98,7,59080
73,8,59080
120,7,59080
66,6,59080
63,7,59080
66,7,59080
63,5,59080
68,7,59080
64,8,59080
76,8,59080
64,5,59080
84,7,59080
87,7,59080
78,7,59080
75,8,59080
64,7,59080
78,8,59080
72,6,59080
88,7,59080
79,7,59080
75,7,59080
66,6,59080
83,6,59080
71,6,59080
66,7,59080
69,6,59080
67,6,59080
71,7,59080
83,7,59080
68,7,59080
76,7,59080
80,7,59080
84,7,59080
72,8,59080
75,8,59080
74,6,59080
78,7,59080
81,8,59080
71,7,59080
62,8,59080
80,7,59080
72,6,59080
67,6,59080
65,8,59080
79,7,59080
64,7,59080
92,6,59080
0,7,67800
0,8,67800
0,7,67800
0,7,67800
0,7,67800
0,7,67800
0,6,67800
0,6,67800
0,7,67800
0,9,67800
0,7,67800
0,7,67800
0,7,67800
0,8,67800
0,8,67800
0,8,67800
0,7,67800
0,6,67800
0,9,67800
0,6,67800
0,8,67800
0,7,67800
0,9,67800
0,7,67800
0,8,67800
0,7,67800
0,7,67800
0,7,67800
0,7,67800
0,6,67800
0,7,67800
0,7,67800
0,8,67800
0,7,67800
0,6,67800
0,8,67800
0,8,67800
0,7,67800
0,7,67800
0,8,67800
0,8,67800
0,7,67800
0,8,67800
0,8,67800
0,7,67800
0,7,67800
0,7,67800
0,7,67800
0,7,67800
0,9,67800
0,9,67800
78,8,77120
105,7,77120
87,9,77120
75,7,77120
76,6,77120
74,8,77120
91,7,77120
89,6,77120
101,7,77120
107,8,77120
94,9,77120
91,8,77120
76,7,77120
82,8,77120
84,8,77120
84,7,77120
84,8,77120
76,8,77120
89,8,77120
134,8,77120
89,9,77120
85,7,77120
89,6,77120
89,9,77120
80,8,77120
102,8,77120
95,7,77120
88,7,77120
94,7,77120
92,8,77120
95,7,77120
82,7,77120
82,7,77120
78,7,77120
90,7,77120
84,7,77120
89,8,77120
84,8,77120
83,8,77120
161,8,77120
79,8,77120
81,9,77120
92,9,77120
79,9,77120
78,7,77120
81,8,77120
85,8,77120
80,7,77120
80,8,77120
84,7,77120
83,8,77120
0,7,87040
0,8,87040
0,8,87040
0,8,87040
0,7,87040
0,8,87040
0,9,87040
0,8,87040
0,8,87040
0,8,87040
0,7,87040
0,9,87040
0,9,87040
0,8,87040
0,7,87040
0,8,87040
0,8,87040
0,8,87040
0,10,87040
0,8,87040
0,9,87040
0,6,87040
0,7,87040
0,8,87040
0,6,87040
0,7,87040
0,7,87040
0,7,87040
0,8,87040
0,9,87040
0,8,87040
0,9,87040
0,9,87040
0,7,87040
0,7,87040
0,8,87040
0,8,87040
0,9,87040
0,9,87040
0,7,87040
0,8,87040
0,9,87040
0,7,87040
0,8,87040
0,8,87040
0,7,87040
0,8,87040
0,6,87040
0,8,87040
0,7,87040
0,7,87040
116,8,97560
90,7,97560
93,8,97560
102,8,97560
110,7,97560
106,7,97560
113,7,97560
109,7,97560
92,9,97560
104,7,97560
101,8,97560
96,9,97560
104,9,97560
90,7,97560
99,8,97560
108,9,97560
96,8,97560
91,7,97560
137,8,97560
98,9,97560
102,7,97560
103,8,97560
95,7,97560
98,7,97560
105,8,97560
109,8,97560
94,9,97560
112,8,97560
97,7,97560
104,8,97560
101,10,97560
108,8,97560
98,8,97560
98,8,97560
127,8,97560
110,9,97560
104,7,97560
92,6,97560
100,7,97560
94,8,97560
85,7,97560
92,12,97560
90,8,97560
99,7,97560
103,7,97560
90,8,97560
93,9,97560
96,7,97560
89,7,97560
101,7,97560
97,8,97560
0,9,108680
0,7,108680
0,10,108680
0,9,108680
0,9,108680
0,8,108680
0,7,108680
0,10,108680
0,9,108680
0,8,108680
0,8,108680
0,10,108680
0,7,108680
0,8,108680
0,8,108680
0,7,108680
0,8,108680
0,7,108680
0,8,108680
0,7,108680
0,9,108680
0,8,108680
0,7,108680
0,9,108680
0,8,108680
0,10,108680
0,9,108680
0,9,108680
0,8,108680
0,7,108680
0,8,108680
0,7,108680
0,7,108680
0,9,108680
0,8,108680
0,8,108680
0,8,108680
0,9,108680
0,8,108680
0,7,108680
0,7,108680
0,8,108680
0,8,108680
0,9,108680
0,8,108680
0,8,108680
0,7,108680
0,8,108680
0,8,108680
0,7,108680
0,8,108680
108,10,120400
116,7,120400
107,8,120400
127,8,120400
116,8,120400
119,10,120400
110,10,120400
122,8,120400
111,7,120400
139,9,120400
116,9,120400
117,9,120400
126,7,120400
135,7,120400
104,8,120400
111,9,120400
120,9,120400
113,8,120400
126,8,120400
123,7,120400
137,10,120400
125,8,120400
124,9,120400
108,8,120400
126,8,120400
115,9,120400
114,10,120400
115,10,120400
117,7,120400
124,8,120400
108,9,120400
114,9,120400
107,9,120400
116,8,120400
115,8,120400
119,8,120400
119,8,120400
115,8,120400
120,8,120400
106,7,120400
116,10,120400
102,7,120400
109,8,120400
123,9,120400
112,9,120400
116,9,120400
108,9,120400
118,9,120400
118,9,120400
119,7,120400
105,8,120400
0,7,132720
0,9,132720
0,9,132720
0,9,132720
0,8,132720
0,9,132720
0,8,132720
0,8,132720
0,9,132720
0,9,132720
0,8,132720
0,8,132720
0,7,132720
0,8,132720
0,8,132720
0,8,132720
0,9,132720
0,8,132720
0,9,132720
0,8,132720
0,8,132720
0,9,132720
0,7,132720
0,8,132720
0,8,132720
0,7,132720
0,9,132720
0,9,132720
0,8,132720
0,8,132720
0,9,132720
0,8,132720
0,8,132720
0,8,132720
0,8,132720
0,7,132720
0,8,132720
0,9,132720
0,8,132720
0,7,132720
0,9,132720
0,8,132720
0,9,132720
0,7,132720
0,8,132720
0,8,132720
0,7,132720
0,8,132720
0,8,132720
0,9,132720
0,9,132720
133,8,145640
122,9,145640
129,10,145640
138,9,145640
128,8,145640
132,9,145640
